- he's a cutie ... do we get to keep him ?,1,1,0,0
How is it !? && it's so   so   so good .,1,1,0,0
oo ok . When I opened up twitterfon and it said I had a reply I was like lauren Conrad andswere me haha,1,1,0,0
Got my baby fix this morning at coffee :o ) . Held wyatt   nevaeh   easton and loved every second of it I want a baby !!!!,1,1,0,0
Thank you very much for another short night #yay #not,0,0,0,0
it'll be worth it when you get it tomorrow,1,1,0,0
Favourite thing to do on a Monday morning is clean the toilet #Sarcasm,0,0,0,0
awww don't be like tht,0,0,0,0
me too,1,1,0,0
: I know one of those   hurts ur self esteem,0,0,0,0
There is literally nowhere I'd rather spend this beautiful day than in the library #not #12days,0,0,0,0
decided to wait for twilight ( yeah ! ) before i leave ....,1,1,0,0
goin to the yard sale very pooped hahahah malikky likky i need an energy drink,0,0,0,0
Opera Unite just went hella trendy #squarespace,1,1,0,0
haha its really coz we are awesome,1,1,0,0
Whew !! This was a fun booth ! Thanks all who came by for your support . It was my first booth . Lots work ; lots fun . Now   to callbacks !,1,1,0,0
is your friend doing anything tonight ? I board out of my mind and plus I'm broke ! LOL,0,0,0,0
listening to Alex play Fable 2   and being pissed off that he took the game away from meeeee !!,0,0,0,0
You would think after waking up at 3:30 am yesterday that my body would be exhausted and maybe sleep trough the night #not #ugh,0,0,0,0
Battling with your cousin is always a great way to end the day ! #Sarcasm,0,0,0,0
Back in the land of no cell service   mucho excitement #sarcasm ... but still   home is home   and it's nice to be back #fornow,0,0,0,0
#TPFA #Sarcasm brilliance ->,0,0,0,0
Why must my cat barge in on me while I'm peeing all the time ?!?! #privacy #not,0,0,0,0
oh how i love being home some days ... <3,1,1,0,0
Literally   my dad watched every episode of pretty little liars with me HA . BEST DAD EVER . well let's just say he has no choice ......,1,1,0,0
at Finthen   at the dentist -,0,0,0,0
Hmmm   this one's more underhanded than Marcos - if these ' manipulations ' are indeed true #conass,0,0,0,0
The remote app on my iPhone for iTunes is soooooooo cool & useful & free .,1,1,0,0
sozzzzz this is why should make fat free food .. #sarcasm #notgoingtohappen,0,0,0,0
Hye sweetone & I can't wait to watch your new season I love your show have a good weekend xoxo hugz to your dad too !,1,1,0,0
they gonna put u on meds ? Did they say if pot smoking has helped or hurt ? Sorry man   that sux 4 u .,0,0,0,0
\" : I'll have a Yasiel Puig update on shortly   at 6:10 pm ET on . #Dodgers \" RT OH BOY CANT WAIT #Sarcasm,0,0,0,0
