1	- he's a cutie ... do we get to keep him ?
1	How is it !? && it's so , so , so good .
1	oo ok . When I opened up twitterfon and it said I had a reply I was like lauren Conrad andswere me haha
1	Got my baby fix this morning at coffee :o ) . Held wyatt , nevaeh , easton and loved every second of it I want a baby !!!!
0	Thank you very much for another short night #yay #not
1	it'll be worth it when you get it tomorrow
0	Favourite thing to do on a Monday morning is clean the toilet #Sarcasm
0	awww don't be like tht
1	me too
0	: I know one of those , hurts ur self esteem
0	There is literally nowhere I'd rather spend this beautiful day than in the library #not #12days
1	decided to wait for twilight ( yeah ! ) before i leave ....
0	goin to the yard sale very pooped hahahah malikky likky i need an energy drink
1	Opera Unite just went hella trendy #squarespace
1	haha its really coz we are awesome
1	Whew !! This was a fun booth ! Thanks all who came by for your support . It was my first booth . Lots work ; lots fun . Now , to callbacks !
0	is your friend doing anything tonight ? I board out of my mind and plus I'm broke ! LOL
0	listening to Alex play Fable 2 , and being pissed off that he took the game away from meeeee !!
0	You would think after waking up at 3:30 am yesterday that my body would be exhausted and maybe sleep trough the night #not #ugh
0	Battling with your cousin is always a great way to end the day ! #Sarcasm
0	Back in the land of no cell service , mucho excitement #sarcasm ... but still , home is home , and it's nice to be back #fornow
0	#TPFA #Sarcasm brilliance ->
0	Why must my cat barge in on me while I'm peeing all the time ?!?! #privacy #not
1	oh how i love being home some days ... <3
1	Literally , my dad watched every episode of pretty little liars with me HA . BEST DAD EVER . well let's just say he has no choice ......
0	at Finthen , at the dentist -
0	Hmmm , this one's more underhanded than Marcos - if these ' manipulations ' are indeed true #conass
1	The remote app on my iPhone for iTunes is soooooooo cool & useful & free .
0	sozzzzz this is why should make fat free food .. #sarcasm #notgoingtohappen
1	Hye sweetone & I can't wait to watch your new season I love your show have a good weekend xoxo hugz to your dad too !
0	they gonna put u on meds ? Did they say if pot smoking has helped or hurt ? Sorry man , that sux 4 u .
0	" : I'll have a Yasiel Puig update on shortly , at 6:10 pm ET on . #Dodgers " RT OH BOY CANT WAIT #Sarcasm
0	Something crazy happened today . I was waiting for an & staring at my phone ETA . Cabs were honking & trying to pick me . #irony
1	lol , have fun with that im going to sit in oxford st and busk for the gay community
1	Glad you had a good day , and sorry I razzed you about sunscreen . Beth said I bugged you !
0	I was talking about your retweet of your mate , but in fairness she's right I was only playing . Yeah good thanks ! Tanned #not
0	Wait wait and there are the TRAPPERS on the other hand .... Niggas be like HA I RAWED U NOW YA PREGNANT #STAMPED That ass is mine 4L #N
0	andyandandybruce and I are super talented sign makers at 11 pm . #sarcasm #thegreatyardsale2014 instagram.com/p/nl-zZWqC0c/
1	Ayoo .. I'll stand out like a sore thumb there . Hahaha .. I'm not promising anything but " if " I'm free I'll be there . " IF "
0	cont ... and then it goes to waste no one likes stale sweets . That reminds me of this cute song called Stale Cupcakes lol
1	WELL WELL WELL Liverpool fans ; all supporting mighty villa tomorrow ? #sarcasm #villameh
1	I keep seeing twitter commercials . Hahahaa . I need to get home so i can do chores and laundry . Ughh .
1	just got a new computer enjoying it . ughh i have alot of homeworkkk . thank godd theres only eight days left of school for me
1	there is nothing like working from my home
0	Like let's get drunk daily and be total DBags ! What a great way to live my life . #sarcasm #whatashame
1	Where are my curtains ?!
0	RT : I'm taking the piss ..... #sarcasm
1	off to sleep taking the day to rest from work madness ... my co wrkers shall be jealous 3day wkend again
1	Aww how cute
0	so yeah , not feeling good today at all
1	all in good time
1	hey im doin a proj on gay rights ... can u help me by tellin me ur thoughts on the subject ?? please !!!! thx
1	That's fantastic ! I hope you enjoyed your time here
1	can I ask you a question ? it's my nosy curiousity kicking in
0	After a great day of riding im sitting at home bored .... dream come true #not
1	what a lovely day ! going to enjoy the sun
0	My mom's leaving in three and a half hours .
0	yeh ive got an assignment to do . lol i didnt sleep till 1 or 2am yep tomorrows gonna be boring as . whatchu doing tonight ?
0	I can't wait till everyone finds out .. It's going to be fun listening to everything they're going to say .. \n #Sarcasm #NotReady #SorryNotSorr
1	Thanks for the follow - right back atcha ! Check out and if you haven't already
1	Red , green or christmas ? Please tweet back if you have any idea what I am talking about
1	Lori says she'll be done by 7:30 .... we'll see
1	I wonder if Barcamp Sydney #5 is going to have a name change , now that we're officially not in recession ?
1	it's gonna be a great semester . so far , so good . FOCUSED on that one and only ... education .
1	COFFEE COFFEE COFFEE !! Dunkin Donuts !!
1	so fun . sorry about the last minute dramz . the party was so fun tho we wont remember the little bumps except the fun ones
0	I just love sleeping in my California King alone .. #Not I just love going to sleep upset .. #SaidNoOneEver
1	Google Wave sounds awesome
0	Oh yes , Willy Wonka sells records . \n\nShe'll probably win the entire series . \n\n #TheVoiceAU #TheBackstoryAU #sarcasm
1	I agree . A little too rich for my blood . Nighty night ! Tweet ya tomorrow !
1	is trying to figure out this twitter thingo .......
1	??????
1	You'd be better off buying a solar panel
1	? Streatham ;) en only for feminine countries , ? for cities and places fran ? ais , ce n'est pas facile , non !?
0	is a tad bit upset shes missing her hubbys soccer game
1	Thank you . Now we'll just have to see how long it takes me to finish the damn thing .
0	- What im missing .
1	its PayDay ! Go to bed !
1	#gonzpiration Genial . ( World Record Attempt in Paris live > )
0	#Carnthemags I'm so happy to be here at Shit-ihad ! #Not #GoPies
1	Good dream last night
0	Just seen a Cardiff fan mock the Villa over Senderos ' statement that Villa are a " great club " . Yes , a Cardiff fan . #irony
1	I'll drive #small_victory
1	oh , pudding's fine . plenty of thursdays have been skipped for pudding .
0	altho i like the familiarity i get with winxp ... i wanna go linux on my netbook , XP is incompatible and stutters/freezes alot
1	boo well its nearly the wkend !
0	Feel like shit but not allowed to go home from work ... Thanks #not #poorly
1	Dang that song was like Woooow !
0	Needs to win lotto I'm not greedy ! A million is fine . Or even just enough to clear our mortage . Buying house young = sad Bec
0	Bad news for Apprentice lovers , Nick ' N ' Margret has become Nick ' N ' New Person for the next series
1	woot ! thank you
1	have to say this whole following in twitter is interesting ... people come and go so fast , most want to sell something ...
0	thanks for being so supportive in what i most want in life mom #not
1	Same old , same old . Working on the blog and looking for interesting people to cyberstalk
1	Zoey 101 is on . I love watching old shows
1	is out doing sales i used to hate this but now im enjoying it
1	Farmer cutting the field , now I can lay in it all day
0	Oooooo aggressive . #RAW #sarcasm
0	Lugging a big bag of books home for the weekend to study . Wondering how much of each book I'll actually get through .
1	Your welcome .
1	wow , getting a tad sleepy so ima hit the head night twitter babes x
0	rain rain go away , come again another day ! My hair is sooooo going to go fluffy on Oxford St tonight
0	Having passport problems . Bolivia may or may not happen at this point
1	helloooo promm dress .. ahh I need to get onee :| whens yours ? debenhams av a salee x
1	I am looking at my first twitter screen
0	Baby is sleeping now . Sure nows a great time when I can't sleep cuz I gotta make bob his dinner
0	Far too happy I've finished my last lab of the year considering I'm ... Working in a lab for the next 12 months #irony
1	Watched MTV awards last , I actually enjoyed it Rob , Shia , Taylor , Kings of Leon and on and on ... oh yeah .
0	Maybe Ukip have a point . No more lawn fairies playing football ! Might have to vote for them . #not
1	would you be able to take some of these ladies off of my hands ?
0	he prob wil but then again it's England so who cares #not me lol
1	go at skool now and berfore i go at skool then i eat and so go to skool
1	I'm loving you tweeting whilst watching this - you going on the ep 12 after ?
1	I miss the planning .. no really I do ,
1	welcome back V ! you'll wish you haven't
0	Saturday , and id like to just simply slap myself . Im an idiot . Truely an idiot . .
0	And to bed finally , all unpacked and raging party going on next door , great to be back ! #Not
0	RT : Dems turn #Bensonhurst rally against the dump into a political rally . #Irony Dem Gentile voted 4 that same dump .
0	Such a wise move being without my allergy medicines for 2 days ... #NOT #feelinglikecrap
1	girls bonfire at annie's , sooo fun . loved getting to finally hang out with mindy
1	I have the new cd All song are amaziinngg !! The duo with miley ROCK everysong make me smile , thanks guys your the best
0	damn ... all of my buddies are fucked up tonight lol ! I missed out
1	Minty freshhh
1	hey ! im at home i bought a new T-shirt its black with blue and pink stars on it i loooove it
